X1,X2,X3,X4,X5,X6,y
-3.991294352,7.825634705,32.76627693,7.825634705,1.894716332,3.326627649,-0.858872682
-5.323123352,6.776637252,-3.545485242,6.776637252,4.296118982,-0.49900834,-11.9651249
-4.872253585,12.88804697,-10.73585505,12.88804697,1.512656073,6.90273509,7.856514342
-4.720227088,12.30495054,46.52273764,12.30495054,-1.343044342,1.650773955,13.12983785
-3.711268422,6.205597725,37.29870335,6.205597725,0.991653177,4.691910356,-1.610986138
-3.374703687,8.636611657,42.69112345,8.636611657,1.298852728,-2.421133935,4.993076993
-5.469190402,9.899627513,-0.335775031,9.899627513,-0.834155397,3.507872802,5.54703763
-6.249400301,8.835559252,37.82154795,8.835559252,1.529233021,2.078394829,-4.517111266
-5.260425238,11.77700187,20.58052612,11.77700187,8.024803935,-3.7036451,-7.834980009
-5.147550403,11.27315858,34.63727429,11.27315858,0.211649833,4.840856641,7.05865969
-5.480182625,11.45079457,-7.005239629,11.45079457,-3.040473429,1.805164951,10.35624016
-6.708425318,8.63426858,38.29768667,8.63426858,1.334073788,1.303909744,-4.122658077
-3.898117065,8.068448308,19.05768635,8.068448308,8.431653814,1.7406132,-12.10322969
-5.050089877,10.86543424,44.20374536,10.86543424,-10.36987582,1.852142519,26.23894203
-2.458059345,9.537455393,50.17034418,9.537455393,0.957778284,2.609690607,9.989899212
-3.790357655,11.38462541,5.130852494,11.38462541,2.42696912,1.046706181,5.991818391
-3.060924805,8.377305263,48.31488574,8.377305263,-2.27465882,9.579449535,12.36660112
-5.297210697,9.78103744,31.3167009,9.78103744,4.768879712,-1.720785634,-5.54555812
-3.67908697,7.757558638,34.06131262,7.757558638,13.12505678,3.190124999,-21.47533743
-4.98026409,6.153096159,24.66054822,6.153096159,14.1515921,5.395475198,-29.97690039
-4.513577949,9.401616898,25.77193186,9.401616898,5.13405449,3.432709458,-4.121231006
-6.866830483,9.871305485,-5.020171771,9.871305485,-2.086372293,6.720528499,1.96278039
-4.586324374,12.45627899,10.21933797,12.45627899,0.135633637,-0.192405421,11.66924281
-4.858078213,7.860277372,52.53889358,7.860277372,2.6775934,-0.075433256,-4.913493387
-5.046196356,10.83974301,49.79602664,10.83974301,5.189942791,4.346194489,-5.934814693
-4.573836937,8.152764942,25.98461464,8.152764942,4.650223083,-4.066996053,-8.251490651
-4.353638932,5.844377416,26.72656849,5.844377416,-0.367598174,3.066315242,-0.436854168
-4.152899983,8.628609843,-4.291047702,8.628609843,2.617503542,2.416515024,-0.243346423
-4.810106803,9.432928086,54.76650308,9.432928086,9.501101802,-1.083185855,-14.09209121
-4.300681828,9.124389447,46.45649447,9.124389447,6.36044755,5.185413525,-7.258153225
-5.671647088,5.823535758,-35.46872263,5.823535758,2.000648653,4.76855976,-10.26081558
-5.75186052,11.25337687,32.56079193,11.25337687,7.124995203,5.700184763,-8.638104815
-3.420718308,7.808297545,-3.022534537,7.808297545,-3.11945727,0.839759675,10.97036671
-5.598259833,12.380717,-29.98778426,12.380717,0.288198646,-1.316617361,7.261725814
-2.893569242,10.81118459,25.29283769,10.81118459,2.252449791,0.929467964,8.686726912
-6.219482225,9.481041427,23.24931074,9.481041427,2.50627164,-0.276912584,-6.014261606
-4.784044509,7.11082225,15.58996383,7.11082225,7.567393443,3.91561823,-14.28788147
-5.258172202,10.87290349,5.647850752,10.87290349,-12.74556201,4.41533776,31.73847343
-5.120380915,10.04615844,50.47711556,10.04615844,7.18685193,4.480633455,-10.46302603
-5.08292034,8.45919729,10.82791311,8.45919729,0.823157204,4.079317461,0.560032018
-5.929191512,9.258579719,-2.049488711,9.258579719,7.026272489,4.607097014,-15.44327353
-6.664430904,8.581016583,9.683716354,8.581016583,-4.668503075,5.661454294,4.505948482
-7.57767348,11.18748488,2.624929488,11.18748488,-8.903487943,1.797471764,17.26237103
-5.665985835,8.158265845,14.37032219,8.158265845,-1.436705877,-5.547398919,1.430700861
-4.413158579,11.92127972,16.95093759,11.92127972,-2.419398278,4.927413598,17.28399579
-6.732367082,8.317129697,36.6114811,8.317129697,-2.203434486,1.760687846,1.879696894
-6.316034195,6.631344647,46.24895746,6.631344647,0.52624691,0.164258546,-7.661481005
-5.719883332,11.02858906,38.66422098,11.02858906,-9.521687448,4.761090878,24.21532435
-2.908099591,8.532861142,34.46475009,8.532861142,-3.121858977,-0.199342464,15.81451005
-6.20073055,8.458669942,39.00211855,8.458669942,-1.487729565,2.975356638,0.997284752
-3.830513266,10.8175259,26.68474487,10.8175259,-2.883658358,5.645791569,14.97828263
-6.344749018,12.40286571,15.94631264,12.40286571,2.925400608,-2.12100323,0.016932291
-6.661924653,11.84055577,28.23039427,11.84055577,-0.797914071,0.711758616,5.923119867
-5.656992803,8.988994495,29.13496143,8.988994495,3.415526336,2.772660664,-5.423998873
-4.477353431,12.45431007,37.1423998,12.45431007,-0.673911016,6.3438438,10.85431798
-4.764311972,9.425859106,19.60752349,9.425859106,4.47861039,0.2643686,-4.817051072
-3.205824935,6.778978411,43.32843806,6.778978411,4.05785258,2.222458857,-4.138464947
-4.163708229,13.33015232,49.90828166,13.33015232,-6.211575084,-0.607131245,24.06639349
-3.632888528,8.443585136,7.569364862,8.443585136,5.279229759,3.422788692,-4.660471221
-3.788603593,8.864382757,-15.48097434,8.864382757,2.676172927,0.672280626,1.751450662
-3.510542373,11.81540439,47.09888126,11.81540439,5.657341973,7.610534404,1.458224777
-5.707967595,10.25342675,-2.681959369,10.25342675,-3.174763081,3.814061646,10.35163055
-5.660424461,11.68906211,3.950188667,11.68906211,4.883852971,0.710388911,-2.861520285
-2.857680222,11.77282658,73.23109997,11.77282658,4.790975189,5.90351052,6.091575743
-4.974135005,11.67690111,41.00792021,11.67690111,2.385845182,1.022936478,1.151975481
-5.465296785,10.37237772,7.123243219,10.37237772,-1.72127852,0.304806087,9.26677806
-2.897012709,12.90619938,-3.416789743,12.90619938,-1.783415714,6.858150939,20.11255739
-5.657533024,10.47134779,10.16662696,10.47134779,5.216430791,5.934189565,-7.329527216
-4.501782102,8.797851027,31.58478615,8.797851027,9.537505872,6.154539492,-15.09075758
-4.953149813,12.06808815,9.174671016,12.06808815,-2.481220771,5.735828271,13.09048629
-4.484765701,12.70471786,20.87084864,12.70471786,1.22357604,1.547322092,8.193553829
-3.718349326,13.13715077,33.51213579,13.13715077,4.789505677,1.823885509,4.533601989
-3.465813581,9.156596267,28.29984828,9.156596267,-0.1192861,2.420933753,7.814540747
-5.520476737,12.83278105,68.10365351,12.83278105,5.645156157,-2.606724447,-1.430907023
-4.883142563,11.10207826,24.52540849,11.10207826,-0.461937761,2.273200168,7.862129217
-3.27892594,9.746162301,23.55462944,9.746162301,-3.304610917,5.413919501,16.78564827
-4.611345945,7.52202374,34.00499468,7.52202374,5.683003438,5.077999919,-9.179344947
-6.837797035,8.694694922,16.28034709,8.694694922,3.744779031,6.7026898,-11.40085044
-5.395570131,10.97864885,11.60682676,10.97864885,0.095188897,4.815474609,6.553793154
-4.011294186,13.8665002,20.31989219,13.8665002,2.850036128,0.875152992,10.50773557
-4.354004509,7.862500526,24.71542532,7.862500526,-3.738563859,3.868498764,9.818222192
-6.191692114,7.482743788,27.29794222,7.482743788,2.437750538,-1.832151204,-8.800898958
-4.864480387,9.947469487,34.78602062,9.947469487,7.22753923,5.066218315,-9.769233314
-4.655640292,8.284159047,29.05551415,8.284159047,4.243719835,2.157110211,-6.176365633
-6.659558624,6.886512539,22.32045551,6.886512539,-5.716014198,8.641680924,5.880064615
-4.933119287,13.82726362,14.82332296,13.82726362,0.134576446,10.5006687,14.12557519
-5.284720794,9.530101856,0.401726735,9.530101856,2.973040639,1.786319601,-1.807759979
-6.087385995,9.722293633,22.24081599,9.722293633,4.625494474,6.914437861,-7.323018085
-5.262010972,7.825486851,30.90755883,7.825486851,7.000451425,5.068593207,-14.59697516
-4.609719495,11.57235338,-17.76296,11.57235338,3.960379934,0.162635597,1.118709277
-5.588350848,9.380761134,18.34071889,9.380761134,15.73334741,-2.420073238,-28.10696199
-6.183350461,10.32378551,82.42198163,10.32378551,-0.082574099,1.026358613,3.338284803
-2.431963981,9.183737326,9.288281466,9.183737326,-8.753944677,-1.591144127,28.79971077
-4.374398392,13.1442088,-8.02454583,13.1442088,-1.998838268,-0.956859656,16.11457755
-6.530408717,9.100383809,32.67364996,9.100383809,0.914990734,-2.146416239,-2.122922605
-4.16058044,12.86132035,-10.51820126,12.86132035,-1.946769697,1.215685498,16.83118796
-4.974365288,10.23988431,22.43185261,10.23988431,0.094055395,0.10771626,5.810662941
-5.549872644,11.70701259,38.1062662,11.70701259,2.557442055,1.959955855,1.970082721
-3.833604917,11.71487398,44.69253146,11.71487398,2.486034877,7.059358798,5.771220168
-6.305809531,9.952192573,36.45557183,9.952192573,2.124310911,5.568876921,-1.02462099
-3.653183619,11.81210762,12.67248657,11.81210762,-0.5069417,3.565366197,12.71874943
-1.925169987,11.59638032,54.58746355,11.59638032,-2.331119595,0.742168131,23.26209414
-5.03913561,9.004067913,8.583758977,9.004067913,3.348364688,8.704156985,-6.125278475
-4.679490702,8.416431796,7.263267287,8.416431796,-8.27931397,6.671834551,19.44382848
-3.463867883,10.76833825,27.80043609,10.76833825,7.310932701,3.095156207,-2.506983258
-5.297532304,9.306377017,-23.51425896,9.306377017,9.984908091,1.22353532,-16.24952142
-4.79804634,13.94626121,5.950904106,13.94626121,4.160321498,3.24980162,4.435734877
-4.848225084,8.267135962,51.39937146,8.267135962,9.886021055,5.327545735,-17.35598816
-3.06816696,13.36559441,12.36536881,13.36559441,9.971118629,5.262056209,-0.618226559
-5.13532028,11.81162291,7.579757706,11.81162291,-10.17383018,5.614478033,28.26905194
